江西本地,#genre#

江西卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225557/iptv7969.smil
江西2都市,rtsp://115.153.254.81/PLTV/88888888/224/3221226728/53707442.smil
江西3经济生活,rtsp://115.153.254.81/PLTV/88888888/224/3221226717/53707446.smil
江西4影视旅游,rtsp://115.153.254.81/PLTV/88888888/224/3221226704/53213102.smil
江西5公共农业,rtsp://115.153.254.81/PLTV/88888888/224/3221226708/53213097.smil
江西6少儿,rtsp://115.153.254.81/PLTV/88888888/224/3221226724/53707450.smil
江西7新闻,rtsp://115.153.254.81/PLTV/88888888/224/3221226654/53213094.smil
江西教育,rtsp://115.153.254.81/PLTV/88888888/224/3221226568/10000100000000060000000002002624_0.smil



央视频道,#genre#
CCTV1,rtsp://115.153.254.81/PLTV/88888888/224/3221225517/iptv7949.smil
CCTV2,rtsp://115.153.254.81/PLTV/88888888/224/3221225519/iptv7950.smil
CCTV4,rtsp://115.153.254.81/PLTV/88888888/224/3221225521/iptv7951.smil
CCTV7,rtsp://115.153.254.81/PLTV/88888888/224/3221225523/iptv7952.smil
CCTV9,rtsp://115.153.254.81/PLTV/88888888/224/3221226792/55683313.smil
CCTV10,rtsp://115.153.254.81/PLTV/88888888/224/3221225527/iptv7954.smil
CCTV11,rtsp://115.153.254.81/PLTV/88888888/224/3221225529/iptv7955.smil
CCTV12,rtsp://115.153.254.81/PLTV/88888888/224/3221225531/iptv7956.smil
CCTV13,rtsp://115.153.254.81/PLTV/88888888/224/3221225533/iptv7957.smil
CCTV14,rtsp://115.153.254.81/PLTV/88888888/224/3221225535/iptv7958.smil
CCTV15,rtsp://115.153.254.81/PLTV/88888888/224/3221225537/iptv7959.smil
CCTV17,rtsp://115.153.254.81/PLTV/88888888/224/3221226848/61397333.smil
CCTV-老故事,rtsp://115.153.254.81/PLTV/88888888/224/3221226816/59781822.smil
CCTV-中学生,rtsp://115.153.254.81/PLTV/88888888/224/3221226813/59781751.smil
CETV-早期教育,rtsp://115.153.254.81/PLTV/88888888/224/3221226815/59781805.smil
CETV1,rtsp://115.153.254.81/PLTV/88888888/224/3221225751/iptv101710.smil
CGTV,rtsp://115.153.254.81/PLTV/88888888/224/3221226694/55738457.smil
Discovery全纪实,rtsp://115.153.254.81/PLTV/88888888/224/3221225605/iptv7993.smil

CCTV1,http://ivi.bupt.edu.cn/hls/cctv1.m3u8
CCTV1,rtmp://ivi.bupt.edu.cn:1935/livetv/cctv1
CCTV1,http://cctvcnch5ca.v.wscdns.com/live/cctv1_2/10793.m3u8
CCTV2,http://cctvcnch5ca.v.wscdns.com/live/cctv2_2/10793.m3u8
CCTV2,rtmp://ivi.bupt.edu.cn:1935/livetv/cctv2
CCTV2,http://ivi.bupt.edu.cn/hls/cctv2.m3u8
CCTV3,http://cctvcnch5ca.v.wscdns.com/live/cctv3_2/10793.m3u8
CCTV3,http://ivi.bupt.edu.cn/hls/cctv3.m3u8
CCTV3,rtmp://ivi.bupt.edu.cn:1935/livetv/cctv3
CCTV4,http://ivi.bupt.edu.cn/hls/cctv4.m3u8
CCTV4,http://cctvcnch5ca.v.wscdns.com/live/cctv4_2/10793.m3u8
CCTV4美洲,http://cctvalih5ca.v.myalicdn.com/live/cctvamerica_2/index.m3u8
CCTV5,http://39.135.138.59:18890/PLTV/88888910/224/3221225751/index.m3u8
CCTV5,http://39.135.138.59:18890/PLTV/88888910/224/3221225753/index.m3u8
CCTV5,http://39.135.138.59:18890/PLTV/88888910/224/3221225754/index.m3u8
CCTV5,http://39.135.138.59:18890/PLTV/88888910/224/3221225755/index.m3u8
CCTV5,http://39.135.138.59:18890/PLTV/88888910/224/3221225756/index.m3u8
CCTV6,rtmp://ivi.bupt.edu.cn:1935/livetv/cctv6
CCTV6,http://ivi.bupt.edu.cn/hls/cctv6.m3u8
CCTV7,http://cctvcnch5ca.v.wscdns.com/live/cctv7_2/10793.m3u8
CCTV7,rtmp://ivi.bupt.edu.cn:1935/livetv/cctv7
CCTV7,http://ivi.bupt.edu.cn/hls/cctv7.m3u8
CCTV8,http://ivi.bupt.edu.cn/hls/cctv8.m3u8
CCTV8,rtmp://ivi.bupt.edu.cn:1935/livetv/cctv8
CCTV9,rtmp://ivi.bupt.edu.cn:1935/livetv/cctv9
CCTV9,http://ivi.bupt.edu.cn/hls/cctv9.m3u8
CCTV10,rtmp://ivi.bupt.edu.cn:1935/livetv/cctv10
CCTV10,http://ivi.bupt.edu.cn/hls/cctv10.m3u8
CCTV11,http://ivi.bupt.edu.cn/hls/cctv11.m3u8
CCTV12,rtmp://ivi.bupt.edu.cn:1935/livetv/cctv12
CCTV12,http://ivi.bupt.edu.cn/hls/cctv12.m3u8
CCTV13,http://ivi.bupt.edu.cn/hls/cctv13.m3u8
CCTV13,http://cctvcnch5ca.v.wscdns.com/live/cctv13_2/10793.m3u8
CCTV14,http://ivi.bupt.edu.cn/hls/cctv14.m3u8
CCTV14,http://cctvcnch5ca.v.wscdns.com/live/cctvchild_2/10793.m3u8
CCTV15,http://ivi.bupt.edu.cn/hls/cctv15.m3u8
CCTV17,https://cctvcnch5ca.v.wscdns.com/live/cctv17_2/10793.m3u8
CGTN,https://livedoc.cgtn.com/500d/prog_index.m3u8
CGTN国际,http://live.cgtn.com/1000/prog_index.m3u8
CGTN纪录,http://39.135.138.59:18890/PLTV/88888910/224/3221225645/index.m3u8
CGTV,http://ivi.bupt.edu.cn/hls/cctv16.m3u8
中国教育4,http://39.135.138.59:18890/PLTV/88888910/224/3221225937/index.m3u8
中国天气,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8




