江西本地,#genre#

江西卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225557/iptv7969.smil
江西2都市,rtsp://115.153.254.81/PLTV/88888888/224/3221226728/53707442.smil
江西3经济生活,rtsp://115.153.254.81/PLTV/88888888/224/3221226717/53707446.smil
江西4影视旅游,rtsp://115.153.254.81/PLTV/88888888/224/3221226704/53213102.smil
江西5公共农业,rtsp://115.153.254.81/PLTV/88888888/224/3221226708/53213097.smil
江西6少儿,rtsp://115.153.254.81/PLTV/88888888/224/3221226724/53707450.smil
江西7新闻,rtsp://115.153.254.81/PLTV/88888888/224/3221226654/53213094.smil
江西教育,rtsp://115.153.254.81/PLTV/88888888/224/3221226568/10000100000000060000000002002624_0.smil



央视频道,#genre#
CCTV1,rtsp://115.153.254.81/PLTV/88888888/224/3221225517/iptv7949.smil
CCTV2,rtsp://115.153.254.81/PLTV/88888888/224/3221225519/iptv7950.smil
CCTV4,rtsp://115.153.254.81/PLTV/88888888/224/3221225521/iptv7951.smil
CCTV7,rtsp://115.153.254.81/PLTV/88888888/224/3221225523/iptv7952.smil
CCTV9,rtsp://115.153.254.81/PLTV/88888888/224/3221226792/55683313.smil
CCTV10,rtsp://115.153.254.81/PLTV/88888888/224/3221225527/iptv7954.smil
CCTV11,rtsp://115.153.254.81/PLTV/88888888/224/3221225529/iptv7955.smil
CCTV12,rtsp://115.153.254.81/PLTV/88888888/224/3221225531/iptv7956.smil
CCTV13,rtsp://115.153.254.81/PLTV/88888888/224/3221225533/iptv7957.smil
CCTV14,rtsp://115.153.254.81/PLTV/88888888/224/3221225535/iptv7958.smil
CCTV15,rtsp://115.153.254.81/PLTV/88888888/224/3221225537/iptv7959.smil
CCTV17,rtsp://115.153.254.81/PLTV/88888888/224/3221226848/61397333.smil
CETV1,rtsp://115.153.254.81/PLTV/88888888/224/3221225751/iptv101710.smil
CGTV,rtsp://115.153.254.81/PLTV/88888888/224/3221226694/55738457.smil
CCTV4HD-欧洲,rtsp://115.153.254.81/PLTV/88888888/224/3221226964/77799053.smil
CCTV4HD-美洲,rtsp://115.153.254.81/PLTV/88888888/224/3221226962/77799052.smil
CGTN,rtsp://115.153.254.81/PLTV/88888888/224/3221226694/55738457.smil
CGTN-英语,rtsp://115.153.254.81/PLTV/88888888/224/3221226947/77798966.smil
CGTN-英文纪录,rtsp://115.153.254.81/PLTV/88888888/224/3221226960/77798993.smil
CGTN-西班牙语,rtsp://115.153.254.81/PLTV/88888888/224/3221226949/77798970.smil
CGTN-法语,rtsp://115.153.254.81/PLTV/88888888/224/3221226968/77799060.smil
CGTN-阿拉伯语,rtsp://115.153.254.81/PLTV/88888888/224/3221226951/77799001.smil
CGTN-俄语,rtsp://115.153.254.81/PLTV/88888888/224/3221226966/77798997.smil
导视,rtsp://115.153.254.81/PLTV/88888888/224/3221225623/iptv8002.smil
Discovery全纪实,rtsp://115.153.254.81/PLTV/88888888/224/3221225605/iptv7993.smil





卫视频道,#genre#
湖南卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225553/iptv7967.smil
浙江卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225545/iptv7963.smil
江苏卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225543/iptv7962.smil
东方卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225541/iptv7961.smil
北京卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225539/iptv7960.smil
广东卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225575/iptv7978.smil
湖北卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225555/iptv7968.smil
天津卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225565/iptv7973.smil
安徽卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225547/iptv7964.smil
辽宁卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225567/iptv7974.smil
山东卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225549/iptv7965.smil
深圳卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225587/iptv7984.smil
东南卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225573/iptv7977.smil
云南卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225775/10000100000000060000000000195766_0.smil
吉林卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225569/iptv7975.smil
西藏卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225570/iptv101725.smil
广西卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225577/iptv7979.smil
宁夏卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225747/iptv101619.smil
河南卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225563/iptv7972.smil
重庆卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225559/iptv7970.smil
甘肃卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225749/iptv101672.smil
海南卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225581/iptv7981.smil
四川卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225561/iptv7971.smil
山西卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225551/iptv7966.smil
贵州卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225579/iptv7980.smil
青海卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225589/iptv7985.smil
陕西卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225755/iptv101726.smil
新疆卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225550/iptv61197.smil
兵团卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225753/iptv101723.smil
